学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,经济学院,(0201Z3)发展经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,国际关系学院,(020105)世界经济,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,国际关系学院,(020105)世界经济,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,环境学院,(020106)人口、资源与环境经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,马克思主义学院,(020101)政治经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,马克思主义学院,(020101)政治经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(202)俄语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(203)日语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(240)德语,(303)数学（三）,(802)经济学综合,(101)思想政治理论,(241)法语,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,社会与人口学院,(020106)人口、资源与环境经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
清华大学,北京,A,985，211，双一流,统考,社会科学学院,(020100)理论经济学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(851)西方经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
清华大学,北京,A,985，211，双一流,统考,社会科学学院,(020100)理论经济学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(851)西方经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
清华大学,北京,A,985，211，双一流,统考,社会科学学院,(020100)理论经济学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(851)西方经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京航空航天大学,北京,A,985，211，双一流,统考,人文社会科学学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(813)理论经济学基础,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京航空航天大学,北京,A,985，211，双一流,统考,人文社会科学学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(813)理论经济学基础,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京航空航天大学,北京,A,985，211，双一流,统考,人文社会科学学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(813)理论经济学基础,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京理工大学,北京,A,985，211，双一流,统考,人文与社会科学学院,(020100)理论经济学,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(850)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京理工大学,北京,A,985，211，双一流,统考,人文与社会科学学院,(020100)理论经济学,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(850)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京理工大学,北京,A,985，211，双一流,统考,人文与社会科学学院,(020100)理论经济学,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(850)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京理工大学,北京,A,985，211，双一流,统考,人文与社会科学学院,(020100)理论经济学,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(850)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京工商大学,北京,A,普通院校,统考,经济学院,(020100)理论经济学,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,经济与工商管理学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)微观与宏观经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,经济与工商管理学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)微观与宏观经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,经济与工商管理学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)微观与宏观经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,经济与工商管理学院,(020100)理论经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)微观与宏观经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,经济与资源管理研究院,(020100)理论经济学,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(802)微观与宏观经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,环境学院,(020106)人口、资源与环境经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(818)环境科学与工程原理,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京师范大学,北京,A,985，211，双一流,统考,环境学院,(020106)人口、资源与环境经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(818)环境科学与工程原理,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020101)政治经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020101)政治经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020101)政治经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020101)政治经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020102)经济思想史,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020102)经济思想史,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020103)经济史,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020103)经济史,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020103)经济史,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020104)西方经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020104)西方经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020104)西方经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020105)世界经济,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020105)世界经济,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020106)人口、资源与环境经济学,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020106)人口、资源与环境经济学,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(020106)人口、资源与环境经济学,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央财经大学,北京,A,211，双一流,统考,经济学院,(0201J3)互联网经济学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020101)政治经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020101)政治经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020101)政治经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020101)政治经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020104)西方经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020104)西方经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020104)西方经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济贸易学院,(020106)人口、资源与环境经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,中国世界贸易组织研究院,(020105)世界经济,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,中国世界贸易组织研究院,(020105)世界经济,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,中国世界贸易组织研究院,(020105)世界经济,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,中国世界贸易组织研究院,(020105)世界经济,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,中国世界贸易组织研究院,(020105)世界经济,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,中国世界贸易组织研究院,(020105)世界经济,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外经济贸易大学,北京,A,211，双一流,统考,国际经济研究院,(020105)世界经济,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(815)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京物资学院,北京,A,普通院校,统考,不区分院系所,(020101)政治经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(812)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京物资学院,北京,A,普通院校,统考,不区分院系所,(020104)西方经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(812)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北京物资学院,北京,A,普通院校,统考,不区分院系所,(020105)世界经济,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(812)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,经济学院,(020100)理论经济学,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,经济学院,(020100)理论经济学,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,经济学院,(020100)理论经济学,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,经济学院,(020100)理论经济学,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,劳动经济学院,(020106)人口、资源与环境经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,劳动经济学院,(020106)人口、资源与环境经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
首都经济贸易大学,北京,A,普通院校,统考,劳动经济学院,(020106)人口、资源与环境经济学,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(901)经济学,(101)思想政治理论,(203)日语,(303)数学（三）,(901)经济学,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外交学院,北京,A,双一流,统考,国际经济学院,(020101)政治经济学,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(807)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外交学院,北京,A,双一流,统考,国际经济学院,(020104)西方经济学,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(807)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外交学院,北京,A,双一流,统考,国际经济学院,(020105)世界经济,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(807)经济学综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际关系学院,北京,A,普通院校,统考,不区分院系所,(020104)西方经济学,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)理论经济学专业综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际关系学院,北京,A,普通院校,统考,不区分院系所,(020105)世界经济,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)理论经济学专业综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际关系学院,北京,A,普通院校,统考,不区分院系所,(0201Z1)国际公共采购学,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(801)理论经济学专业综合,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
